MONTH,DAY,DAY_OF_WEEK,AIRLINE_x,airline_name,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DISTANCE,DEPARTURE_DELAY,delayed,HOUR
6,27,6,NK,Spirit Air Lines,MYR,DTW,1740,636,45.0,1,17
9,5,6,DL,Delta Air Lines Inc.,SLC,ATL,1355,1590,2.0,0,13
10,17,6,AA,American Airlines Inc.,11298,12451,700,918,-5.0,0,7
1,17,6,US,US Airways Inc.,CLT,LAX,945,2125,0.0,0,9
6,5,5,DL,Delta Air Lines Inc.,MIA,ATL,1745,594,102.0,1,17
9,14,1,WN,Southwest Airlines Co.,LAX,SFO,1535,337,22.0,1,15
9,6,7,AA,American Airlines Inc.,SAN,DFW,1555,1171,-10.0,0,15
12,24,4,WN,Southwest Airlines Co.,AUS,PHX,1405,872,-6.0,0,14
7,11,6,AS,Alaska Airlines Inc.,SEA,SFO,950,679,-4.0,0,9
7,18,6,MQ,American Eagle Airlines Inc.,LGA,BNA,1201,764,104.0,1,12
7,30,4,AA,American Airlines Inc.,DFW,CLT,1850,936,14.0,0,18
10,1,4,WN,Southwest Airlines Co.,10713,11292,1445,649,-3.0,0,14
3,6,5,UA,United Air Lines Inc.,LAX,HNL,845,2556,3.0,0,8
3,26,4,WN,Southwest Airlines Co.,PHX,SAT,1920,843,5.0,0,19
2,6,5,UA,United Air Lines Inc.,SAN,IAH,1255,1303,-3.0,0,12
4,6,1,WN,Southwest Airlines Co.,EWR,PHX,1255,2133,-1.0,0,12
1,11,7,AA,American Airlines Inc.,ICT,DFW,748,328,-3.0,0,7
3,23,1,DL,Delta Air Lines Inc.,DFW,SLC,1919,989,60.0,1,19
9,11,5,WN,Southwest Airlines Co.,SJC,LAS,1740,386,-8.0,0,17
4,29,3,B6,JetBlue Airways,JFK,BOS,1700,187,-7.0,0,17
11,22,7,DL,Delta Air Lines Inc.,ELP,ATL,1300,1282,-5.0,0,13
4,17,5,AA,American Airlines Inc.,DFW,DCA,540,1192,-6.0,0,5
9,17,4,WN,Southwest Airlines Co.,MDW,DEN,820,895,-1.0,0,8
5,30,6,AA,American Airlines Inc.,SJC,DFW,705,1438,-6.0,0,7
6,27,6,WN,Southwest Airlines Co.,PHX,PIT,1725,1814,55.0,1,17
9,18,5,OO,Skywest Airlines Inc.,SFO,ACV,1053,250,-7.0,0,10
6,19,5,EV,Atlantic Southeast Airlines,DEN,DRO,1727,251,4.0,0,17
8,31,1,EV,Atlantic Southeast Airlines,EWR,GSP,807,594,-11.0,0,8
8,4,2,WN,Southwest Airlines Co.,PHX,SAN,810,304,10.0,0,8
12,7,1,OO,Skywest Airlines Inc.,PAH,ORD,627,342,27.0,1,6
7,25,6,UA,United Air Lines Inc.,ORD,SFO,1905,1846,15.0,0,19
8,7,5,WN,Southwest Airlines Co.,BUR,PHX,2135,369,19.0,1,21
1,30,5,AA,American Airlines Inc.,DFW,ORD,2050,802,-2.0,0,20
7,23,4,OO,Skywest Airlines Inc.,OKC,IAH,1840,395,67.0,1,18
7,21,2,B6,JetBlue Airways,ORD,BOS,1512,867,21.0,1,15
8,28,5,DL,Delta Air Lines Inc.,ATL,RSW,1645,515,13.0,0,16
8,11,2,HA,Hawaiian Airlines Inc.,HNL,ITO,1438,216,8.0,0,14
2,22,7,EV,Atlantic Southeast Airlines,BMI,ATL,1112,533,106.0,1,11
10,20,2,UA,United Air Lines Inc.,12892,12266,650,1379,-7.0,0,6
1,12,1,US,US Airways Inc.,BUF,CLT,1150,546,27.0,1,11
7,26,7,WN,Southwest Airlines Co.,LAX,MCI,1755,1363,1.0,0,17
11,3,2,MQ,American Eagle Airlines Inc.,ORD,LSE,820,215,-13.0,0,8
2,9,1,OO,Skywest Airlines Inc.,SLC,OKC,1355,866,-3.0,0,13
4,14,2,WN,Southwest Airlines Co.,BWI,LAS,615,2106,-4.0,0,6
4,16,4,DL,Delta Air Lines Inc.,DTW,BWI,716,409,-3.0,0,7
3,8,7,EV,Atlantic Southeast Airlines,ORD,DAY,813,240,-3.0,0,8
9,12,6,B6,JetBlue Airways,TPA,EWR,1950,997,63.0,1,19
10,10,6,AS,Alaska Airlines Inc.,14747,10299,2130,1448,-3.0,0,21
3,16,1,UA,United Air Lines Inc.,ORD,PHX,2200,1440,-2.0,0,22
2,18,3,UA,United Air Lines Inc.,LGA,DEN,1745,1620,23.0,1,17
5,19,2,NK,Spirit Air Lines,LAX,MSP,1847,1535,15.0,0,18
12,6,7,WN,Southwest Airlines Co.,SLC,LAS,1810,368,-4.0,0,18
9,11,5,B6,JetBlue Airways,BOS,PHL,802,280,52.0,1,8
8,31,1,WN,Southwest Airlines Co.,IND,HOU,915,861,-6.0,0,9
10,11,7,AA,American Airlines Inc.,14747,11298,1152,1660,5.0,0,11
2,12,4,NK,Spirit Air Lines,TPA,DTW,1221,983,-14.0,0,12
8,20,4,AA,American Airlines Inc.,DFW,MFE,2020,469,1.0,0,20
3,4,3,WN,Southwest Airlines Co.,MSY,ATL,705,425,0.0,0,7
5,17,7,MQ,American Eagle Airlines Inc.,CLE,ORD,1725,315,-7.0,0,17
7,20,1,B6,JetBlue Airways,EWR,FLL,1330,1065,-7.0,0,13
4,2,4,NK,Spirit Air Lines,TPA,DTW,1157,983,-4.0,0,11
5,18,1,WN,Southwest Airlines Co.,LAS,MCI,1835,1139,150.0,1,18
11,10,2,AA,American Airlines Inc.,PHX,BOS,1320,2300,-4.0,0,13
8,12,3,WN,Southwest Airlines Co.,LBB,DAL,930,293,42.0,1,9
3,9,1,NK,Spirit Air Lines,IAH,MSY,1759,305,23.0,1,17
2,20,5,EV,Atlantic Southeast Airlines,ORD,IND,1315,177,28.0,1,13
1,5,1,OO,Skywest Airlines Inc.,ABQ,SLC,1246,493,-1.0,0,12
6,21,7,EV,Atlantic Southeast Airlines,IAH,IND,1625,844,-4.0,0,16
7,2,4,AA,American Airlines Inc.,PHX,SLC,1655,507,0.0,0,16
12,25,5,F9,Frontier Airlines Inc.,DEN,MSP,2055,680,-10.0,0,20
12,20,7,DL,Delta Air Lines Inc.,BHM,ATL,1840,134,-6.0,0,18
8,12,3,EV,Atlantic Southeast Airlines,CLE,BOS,1621,563,-5.0,0,16
2,25,3,WN,Southwest Airlines Co.,ATL,IND,1505,432,35.0,1,15
11,20,5,OO,Skywest Airlines Inc.,MSP,BZN,1954,874,0.0,0,19
7,14,2,UA,United Air Lines Inc.,LAX,ORD,39,1744,-1.0,0,0
12,25,5,WN,Southwest Airlines Co.,OKC,DEN,2040,495,-2.0,0,20
2,6,5,UA,United Air Lines Inc.,DEN,SFO,2213,967,54.0,1,22
9,11,5,AS,Alaska Airlines Inc.,SEA,PSP,1005,987,-7.0,0,10
5,31,7,WN,Southwest Airlines Co.,OAK,LAX,1145,337,0.0,0,11
2,25,3,MQ,American Eagle Airlines Inc.,DFW,ASE,1620,701,-3.0,0,16
8,25,2,OO,Skywest Airlines Inc.,IAH,MEM,1430,468,57.0,1,14
4,6,1,UA,United Air Lines Inc.,DEN,SAN,1116,853,-4.0,0,11
9,8,2,DL,Delta Air Lines Inc.,MCI,ATL,1353,692,-7.0,0,13
1,10,6,WN,Southwest Airlines Co.,MCI,DAL,1305,460,0.0,0,13
5,20,3,WN,Southwest Airlines Co.,MDW,MCI,2135,405,-1.0,0,21
8,19,3,UA,United Air Lines Inc.,PIT,IAH,600,1117,-6.0,0,6
12,10,4,AA,American Airlines Inc.,CLT,RDU,1430,130,-4.0,0,14
8,5,3,OO,Skywest Airlines Inc.,SFO,SBA,1034,262,-5.0,0,10
8,17,1,AA,American Airlines Inc.,STX,MIA,1550,1139,-1.0,0,15
10,29,4,DL,Delta Air Lines Inc.,11433,15016,1216,440,0.0,0,12
6,7,7,US,US Airways Inc.,CLT,SEA,2215,2279,-2.0,0,22
9,23,3,OO,Skywest Airlines Inc.,LWS,SLC,1200,461,-8.0,0,12
4,26,7,WN,Southwest Airlines Co.,LAX,SJC,1815,308,9.0,0,18
3,19,4,DL,Delta Air Lines Inc.,BOI,MSP,530,1142,98.0,1,5
10,21,3,WN,Southwest Airlines Co.,13232,11066,1355,283,-3.0,0,13
11,20,5,AA,American Airlines Inc.,MIA,DFW,900,1121,-1.0,0,9
9,21,1,AA,American Airlines Inc.,DFW,DEN,951,641,-4.0,0,9
12,12,6,AA,American Airlines Inc.,SFO,ORD,1104,1846,-7.0,0,11
4,4,6,US,US Airways Inc.,CLT,SJU,1815,1475,19.0,1,18
2,20,5,WN,Southwest Airlines Co.,STL,DTW,1850,440,17.0,1,18
12,31,4,OO,Skywest Airlines Inc.,LAX,JAC,818,784,-2.0,0,8
6,23,2,UA,United Air Lines Inc.,SFO,OGG,920,2338,4.0,0,9
12,5,6,WN,Southwest Airlines Co.,SJC,SNA,630,342,-3.0,0,6
12,29,2,B6,JetBlue Airways,JFK,MCO,917,944,21.0,1,9
11,18,3,B6,JetBlue Airways,BOS,PHL,1730,280,0.0,0,17
11,2,1,WN,Southwest Airlines Co.,LAS,SEA,1020,867,-1.0,0,10
1,8,4,AS,Alaska Airlines Inc.,SEA,SAN,1745,1050,25.0,1,17
12,31,4,AA,American Airlines Inc.,PHL,IAH,1420,1325,-3.0,0,14
7,23,4,EV,Atlantic Southeast Airlines,DTW,ROC,747,296,-8.0,0,7
9,28,1,AS,Alaska Airlines Inc.,SEA,SJC,1555,697,-6.0,0,15
10,6,2,NK,Spirit Air Lines,10821,11697,645,925,-1.0,0,6
9,24,4,WN,Southwest Airlines Co.,OAK,BOI,1930,512,68.0,1,19
8,3,1,WN,Southwest Airlines Co.,SAN,LAS,1140,258,1.0,0,11
4,22,3,DL,Delta Air Lines Inc.,ATL,ORD,1342,606,-5.0,0,13
4,25,6,UA,United Air Lines Inc.,IAH,CLE,1555,1091,26.0,1,15
10,6,2,HA,Hawaiian Airlines Inc.,12173,13830,1917,100,-8.0,0,19
10,11,7,WN,Southwest Airlines Co.,13232,10257,2155,717,8.0,0,21
10,10,6,WN,Southwest Airlines Co.,14893,14908,1125,404,4.0,0,11
8,31,1,WN,Southwest Airlines Co.,MDW,SDF,2040,271,-3.0,0,20
11,17,2,DL,Delta Air Lines Inc.,ATL,MEM,940,332,0.0,0,9
8,21,5,DL,Delta Air Lines Inc.,ATL,HOU,1510,696,-1.0,0,15
11,26,4,WN,Southwest Airlines Co.,BNA,SAN,1200,1751,-3.0,0,12
1,10,6,WN,Southwest Airlines Co.,HOU,RDU,1150,1050,-2.0,0,11
1,9,5,AA,American Airlines Inc.,SFO,DFW,600,1464,-8.0,0,6
12,19,6,UA,United Air Lines Inc.,OGG,ORD,1710,4184,7.0,0,17
9,3,4,DL,Delta Air Lines Inc.,ATL,CLT,847,226,-4.0,0,8
7,11,6,AA,American Airlines Inc.,CLT,DFW,2215,936,16.0,1,22
6,25,4,DL,Delta Air Lines Inc.,DTW,LAS,1752,1749,-4.0,0,17
8,25,2,AA,American Airlines Inc.,EWR,CLT,500,529,-6.0,0,5
10,23,5,WN,Southwest Airlines Co.,13232,12278,955,589,-6.0,0,9
2,14,6,WN,Southwest Airlines Co.,MDW,PHL,1315,668,9.0,0,13
8,20,4,EV,Atlantic Southeast Airlines,LEX,DFW,625,785,-5.0,0,6
6,16,2,MQ,American Eagle Airlines Inc.,DFW,OKC,1726,175,80.0,1,17
5,16,6,WN,Southwest Airlines Co.,DEN,MKE,1105,896,-2.0,0,11
11,11,3,B6,JetBlue Airways,IAD,JFK,630,228,-3.0,0,6
6,2,2,B6,JetBlue Airways,ORH,FLL,1435,1211,22.0,1,14
5,15,5,WN,Southwest Airlines Co.,SLC,PHX,1100,507,10.0,0,11
10,9,5,UA,United Air Lines Inc.,14771,12889,2250,414,-4.0,0,22
12,29,2,WN,Southwest Airlines Co.,MKE,LAS,835,1524,15.0,0,8
10,27,2,DL,Delta Air Lines Inc.,14100,10397,730,666,-5.0,0,7
7,21,2,EV,Atlantic Southeast Airlines,MEM,ORD,739,491,-9.0,0,7
11,24,2,DL,Delta Air Lines Inc.,SFO,LAX,1600,337,19.0,1,16
6,11,4,UA,United Air Lines Inc.,LAX,IAH,820,1379,18.0,1,8
7,12,7,OO,Skywest Airlines Inc.,LAX,RDM,1010,726,-6.0,0,10
7,5,7,NK,Spirit Air Lines,SAN,IAH,800,1303,-7.0,0,8
4,6,1,UA,United Air Lines Inc.,IAH,ORD,1930,925,0.0,0,19
2,13,5,DL,Delta Air Lines Inc.,TPA,DTW,1745,983,2.0,0,17
10,12,1,OO,Skywest Airlines Inc.,13930,13851,1911,693,3.0,0,19
8,20,4,AA,American Airlines Inc.,PIT,DFW,1528,1067,3.0,0,15
6,10,3,AS,Alaska Airlines Inc.,SCC,BRW,1720,204,0.0,0,17
7,19,7,UA,United Air Lines Inc.,RNO,DEN,555,804,-3.0,0,5
11,29,7,OO,Skywest Airlines Inc.,DSM,DEN,1713,589,0.0,0,17
10,15,4,MQ,American Eagle Airlines Inc.,10599,11298,1312,597,1.0,0,13
5,9,6,MQ,American Eagle Airlines Inc.,GSP,DFW,605,862,-5.0,0,6
2,18,3,OO,Skywest Airlines Inc.,MFR,SLC,620,575,-12.0,0,6
8,8,6,WN,Southwest Airlines Co.,BWI,ALB,1535,289,24.0,1,15
6,14,7,WN,Southwest Airlines Co.,BWI,MEM,900,787,0.0,0,9
11,2,1,MQ,American Eagle Airlines Inc.,EVV,ORD,1443,272,-7.0,0,14
1,17,6,UA,United Air Lines Inc.,CLE,DEN,1256,1201,-5.0,0,12
5,18,1,EV,Atlantic Southeast Airlines,IAH,ATL,600,689,-5.0,0,6
8,21,5,UA,United Air Lines Inc.,SNA,DEN,1557,846,-7.0,0,15
9,11,5,WN,Southwest Airlines Co.,MCO,ATL,1015,404,-3.0,0,10
5,21,4,AA,American Airlines Inc.,MIA,IAH,1845,964,1.0,0,18
6,11,4,UA,United Air Lines Inc.,SJU,IAH,635,2007,24.0,1,6
3,13,5,UA,United Air Lines Inc.,IAH,EWR,1744,1400,98.0,1,17
11,8,7,OO,Skywest Airlines Inc.,ONT,SLC,1820,558,-6.0,0,18
2,26,4,DL,Delta Air Lines Inc.,RSW,DTW,1358,1084,4.0,0,13
8,28,5,UA,United Air Lines Inc.,ORD,OMA,1552,416,-4.0,0,15
4,2,4,EV,Atlantic Southeast Airlines,DFW,CRP,1330,354,79.0,1,13
3,21,6,DL,Delta Air Lines Inc.,ICT,ATL,600,782,-6.0,0,6
4,19,7,UA,United Air Lines Inc.,ORD,RIC,1730,642,-10.0,0,17
12,1,2,AS,Alaska Airlines Inc.,SEA,SAT,1130,1774,-3.0,0,11
4,28,2,OO,Skywest Airlines Inc.,TUS,PHX,1520,110,-3.0,0,15
4,7,2,MQ,American Eagle Airlines Inc.,FNT,ORD,630,223,-1.0,0,6
12,20,7,F9,Frontier Airlines Inc.,ATL,MIA,1640,594,-4.0,0,16
1,7,3,AA,American Airlines Inc.,CLE,DFW,717,1021,29.0,1,7
11,25,3,AA,American Airlines Inc.,TPA,CLT,510,507,-10.0,0,5
3,18,3,UA,United Air Lines Inc.,ORD,DCA,1900,612,6.0,0,19
1,13,2,WN,Southwest Airlines Co.,TPA,PHL,935,920,-2.0,0,9
5,10,7,AA,American Airlines Inc.,FLL,ORD,820,1182,0.0,0,8
8,26,3,AA,American Airlines Inc.,IAH,MIA,1645,964,43.0,1,16
2,22,7,NK,Spirit Air Lines,PHX,MSP,1515,1276,20.0,1,15
8,30,7,DL,Delta Air Lines Inc.,SLC,DFW,950,989,30.0,1,9
12,8,2,DL,Delta Air Lines Inc.,SLC,MSP,1710,991,-6.0,0,17
1,16,5,HA,Hawaiian Airlines Inc.,KOA,HNL,927,163,8.0,0,9
5,20,3,OO,Skywest Airlines Inc.,OKC,SLC,1750,866,12.0,0,17
7,30,4,DL,Delta Air Lines Inc.,LAX,ATL,1615,1947,-6.0,0,16
9,1,2,AA,American Airlines Inc.,PHX,DFW,625,868,208.0,1,6
5,2,6,EV,Atlantic Southeast Airlines,EWR,MSP,1415,1008,8.0,0,14
7,19,7,AA,American Airlines Inc.,MCO,DCA,1150,759,-7.0,0,11
9,4,5,WN,Southwest Airlines Co.,DAL,BWI,710,1209,-4.0,0,7
1,11,7,EV,Atlantic Southeast Airlines,ATL,DHN,1730,170,110.0,1,17
6,6,6,UA,United Air Lines Inc.,ORD,EWR,1100,719,-3.0,0,11
6,11,4,DL,Delta Air Lines Inc.,LGA,MCO,1955,950,11.0,0,19
8,23,7,B6,JetBlue Airways,MCO,DCA,1825,759,-1.0,0,18
10,17,6,WN,Southwest Airlines Co.,13495,11618,1910,1167,9.0,0,19
2,15,7,WN,Southwest Airlines Co.,SJC,BUR,955,296,-3.0,0,9
2,27,5,MQ,American Eagle Airlines Inc.,MIA,CVG,931,948,18.0,1,9
6,27,6,AA,American Airlines Inc.,RDU,DFW,1545,1061,9.0,0,15
2,28,6,B6,JetBlue Airways,BOS,BWI,605,369,-12.0,0,6
9,6,7,WN,Southwest Airlines Co.,MCO,MDW,1900,990,-1.0,0,19
10,16,5,OO,Skywest Airlines Inc.,12892,14893,1240,373,-8.0,0,12
5,5,2,WN,Southwest Airlines Co.,ATL,JAX,1525,270,0.0,0,15
9,8,2,DL,Delta Air Lines Inc.,SLC,JFK,1110,1990,-1.0,0,11
1,29,4,UA,United Air Lines Inc.,ORD,LAS,814,1514,-3.0,0,8
10,27,2,DL,Delta Air Lines Inc.,10397,13485,1453,707,66.0,1,14
8,10,1,DL,Delta Air Lines Inc.,PDX,DTW,2259,1953,106.0,1,22
9,21,1,WN,Southwest Airlines Co.,LAS,ABQ,1500,486,-1.0,0,15
1,2,5,WN,Southwest Airlines Co.,MKE,LAS,1315,1524,16.0,1,13
9,8,2,UA,United Air Lines Inc.,IAH,PHX,1133,1009,-5.0,0,11
7,9,4,WN,Southwest Airlines Co.,TPA,LAS,605,1984,0.0,0,6
2,20,5,UA,United Air Lines Inc.,EGE,EWR,1241,1725,13.0,0,12
4,21,2,WN,Southwest Airlines Co.,AUS,LAS,1350,1090,-3.0,0,13
4,13,1,AA,American Airlines Inc.,MIA,JFK,1305,1089,8.0,0,13
2,24,2,EV,Atlantic Southeast Airlines,PIA,ATL,600,565,126.0,1,6
9,26,6,WN,Southwest Airlines Co.,MCO,MSY,820,551,-3.0,0,8
11,19,4,EV,Atlantic Southeast Airlines,LFT,ATL,1417,503,8.0,0,14
4,1,3,HA,Hawaiian Airlines Inc.,HNL,ITO,1545,216,-6.0,0,15
10,25,7,HA,Hawaiian Airlines Inc.,12173,12402,646,216,-7.0,0,6
4,6,1,WN,Southwest Airlines Co.,HOU,DAL,1930,239,-2.0,0,19
1,20,2,EV,Atlantic Southeast Airlines,IAH,GSP,1907,837,-4.0,0,19
7,6,1,DL,Delta Air Lines Inc.,ATL,MDW,1400,591,-3.0,0,14
9,18,5,WN,Southwest Airlines Co.,MCO,CMH,1000,802,-6.0,0,10
10,8,4,UA,United Air Lines Inc.,14771,12264,1302,2419,7.0,0,13
8,3,1,AA,American Airlines Inc.,LGA,DCA,700,214,0.0,0,7
10,22,4,B6,JetBlue Airways,11618,10721,1730,200,2.0,0,17
4,20,1,OO,Skywest Airlines Inc.,SBA,SFO,1035,262,107.0,1,10
12,23,3,EV,Atlantic Southeast Airlines,LEX,ATL,1245,304,21.0,1,12
3,30,1,AA,American Airlines Inc.,MIA,DCA,705,919,61.0,1,7
7,17,5,WN,Southwest Airlines Co.,OAK,SAN,855,446,0.0,0,8
5,13,3,MQ,American Eagle Airlines Inc.,ABI,DFW,705,158,-8.0,0,7
1,28,3,WN,Southwest Airlines Co.,BWI,PVD,1600,327,5.0,0,16
10,21,3,EV,Atlantic Southeast Airlines,10599,11433,1135,625,202.0,1,11
8,28,5,AS,Alaska Airlines Inc.,SEA,KTN,1855,680,-4.0,0,18
1,25,7,EV,Atlantic Southeast Airlines,GSP,IAH,620,837,-9.0,0,6
4,23,4,OO,Skywest Airlines Inc.,DFW,IAH,1546,224,25.0,1,15
1,13,2,AS,Alaska Airlines Inc.,LAS,SEA,2155,867,-6.0,0,21
4,20,1,OO,Skywest Airlines Inc.,DEN,BNA,1004,1014,-7.0,0,10
10,9,5,B6,JetBlue Airways,12478,10154,1107,199,7.0,0,11
8,16,7,MQ,American Eagle Airlines Inc.,RDU,LGA,1248,431,11.0,0,12
1,20,2,AA,American Airlines Inc.,DFW,SJC,740,1438,5.0,0,7
1,7,3,DL,Delta Air Lines Inc.,DCA,ATL,1500,547,-7.0,0,15
11,11,3,DL,Delta Air Lines Inc.,ATL,BWI,1455,577,4.0,0,14
7,4,6,AA,American Airlines Inc.,PHL,DEN,2055,1558,-3.0,0,20
7,30,4,WN,Southwest Airlines Co.,MKE,DEN,1940,896,-4.0,0,19
2,15,7,WN,Southwest Airlines Co.,PHL,MDW,1855,668,0.0,0,18
10,28,3,F9,Frontier Airlines Inc.,13204,12264,1310,758,19.0,1,13
1,11,7,OO,Skywest Airlines Inc.,AUS,IAH,745,140,-5.0,0,7
3,28,6,EV,Atlantic Southeast Airlines,GNV,ATL,1800,300,-9.0,0,18
1,24,6,OO,Skywest Airlines Inc.,ORD,MKE,1708,67,-3.0,0,17
3,31,2,MQ,American Eagle Airlines Inc.,DFW,HOU,1446,247,13.0,0,14
7,9,4,WN,Southwest Airlines Co.,LAX,PHX,1000,370,26.0,1,10
12,16,3,OO,Skywest Airlines Inc.,DEN,SBA,1852,916,12.0,0,18
8,29,6,AA,American Airlines Inc.,ORD,PDX,1210,1739,-2.0,0,12
3,13,5,EV,Atlantic Southeast Airlines,MHT,DTW,1225,610,-8.0,0,12
4,8,3,US,US Airways Inc.,SFO,PHX,915,651,132.0,1,9
8,5,3,UA,United Air Lines Inc.,CLE,LAS,702,1824,-9.0,0,7
5,1,5,MQ,American Eagle Airlines Inc.,DFW,LRD,910,396,-5.0,0,9
12,7,1,OO,Skywest Airlines Inc.,ORD,SYR,1354,607,19.0,1,13
8,18,2,B6,JetBlue Airways,BOS,PBI,1043,1197,3.0,0,10
12,8,2,DL,Delta Air Lines Inc.,LAX,JFK,605,2475,-8.0,0,6
5,6,3,WN,Southwest Airlines Co.,BWI,RDU,2100,255,34.0,1,21
1,22,4,DL,Delta Air Lines Inc.,LFT,ATL,600,503,-2.0,0,6
12,31,4,DL,Delta Air Lines Inc.,SLC,OAK,945,588,-2.0,0,9
1,22,4,US,US Airways Inc.,PHL,RSW,800,993,-6.0,0,8
1,27,2,WN,Southwest Airlines Co.,TUL,DEN,1625,541,2.0,0,16
2,20,5,B6,JetBlue Airways,JFK,BOS,2255,187,58.0,1,22
11,29,7,B6,JetBlue Airways,BUF,FLL,1532,1166,-4.0,0,15
12,17,4,WN,Southwest Airlines Co.,BNA,TPA,2215,612,17.0,1,22
1,2,5,AA,American Airlines Inc.,MIA,SJU,1105,1045,19.0,1,11
12,15,2,OO,Skywest Airlines Inc.,MSP,CVG,730,596,3.0,0,7
1,12,1,DL,Delta Air Lines Inc.,ATL,PHL,2155,666,105.0,1,21
11,23,1,AA,American Airlines Inc.,SEA,DFW,645,1660,9.0,0,6
5,27,3,OO,Skywest Airlines Inc.,CVG,ORD,655,265,-6.0,0,6
4,3,5,WN,Southwest Airlines Co.,LAS,RNO,940,345,-4.0,0,9
6,22,1,WN,Southwest Airlines Co.,OAK,LAX,2035,337,1.0,0,20
10,5,1,HA,Hawaiian Airlines Inc.,12173,13830,730,100,0.0,0,7
7,5,7,AA,American Airlines Inc.,BOS,DCA,1900,399,-7.0,0,19
11,13,5,AA,American Airlines Inc.,CLT,PIT,1635,366,-3.0,0,16
2,15,7,DL,Delta Air Lines Inc.,PHL,DTW,1225,453,0.0,0,12
8,28,5,WN,Southwest Airlines Co.,LAX,SLC,830,590,-3.0,0,8
9,15,2,WN,Southwest Airlines Co.,BWI,SEA,835,2335,1.0,0,8
3,23,1,EV,Atlantic Southeast Airlines,DTW,RDU,1010,501,-5.0,0,10
4,1,3,OO,Skywest Airlines Inc.,SBP,LAX,1825,156,61.0,1,18
4,28,2,B6,JetBlue Airways,PHL,BOS,1634,280,-9.0,0,16
5,28,4,DL,Delta Air Lines Inc.,ANC,ATL,1946,3417,23.0,1,19
4,16,4,F9,Frontier Airlines Inc.,PHL,ATL,1620,666,5.0,0,16
4,19,7,UA,United Air Lines Inc.,IAD,LAX,1705,2288,-5.0,0,17
5,30,6,B6,JetBlue Airways,LAS,BOS,2348,2381,-2.0,0,23
7,18,6,AA,American Airlines Inc.,ORD,PHX,1055,1440,-3.0,0,10
12,21,1,DL,Delta Air Lines Inc.,JFK,FLL,1527,1069,18.0,1,15
